2023-06-01 16:59:23.538 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-06-01 16:59:23.540 INFO  [main] [com.hyunn.carrot.CarrotApplication] - Starting CarrotApplication using Java 11.0.18 on DESKTOP-8FQLBIN with PID 7528 (C:\carrot\build\classes\java\main started by 조현태 in C:\carrot)
2023-06-01 16:59:23.546 INFO  [main] [com.hyunn.carrot.CarrotApplication] - The following 1 profile is active: "dev"
2023-06-01 16:59:25.093 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-01 16:59:25.281 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 135 ms. Found 7 JPA repository interfaces.
2023-06-01 16:59:26.508 INFO  [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9000 (http)
2023-06-01 16:59:26.527 INFO  [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-9000"]
2023-06-01 16:59:26.528 INFO  [main] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-06-01 16:59:26.529 INFO  [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-01 16:59:26.773 INFO  [main] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-06-01 16:59:26.775 INFO  [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 3138 ms
2023-06-01 16:59:27.001 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-06-01 16:59:27.694 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-06-01 16:59:27.800 INFO  [main] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-01 16:59:27.949 INFO  [main] [org.hibernate.Version] - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-06-01 16:59:28.348 INFO  [main] [org.hibernate.annotations.common.Version] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-06-01 16:59:28.690 INFO  [main] [org.hibernate.dialect.Dialect] - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-06-01 16:59:30.337 INFO  [main] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-01 16:59:30.361 INFO  [main] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-06-01 16:59:31.377 WARN  [main] [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-01 16:59:32.122 INFO  [main] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-9000"]
2023-06-01 16:59:32.156 INFO  [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9000 (http) with context path ''
2023-06-01 16:59:32.174 INFO  [main] [com.hyunn.carrot.CarrotApplication] - Started CarrotApplication in 9.711 seconds (JVM running for 11.972)
2023-06-01 16:59:46.887 INFO  [http-nio-9000-exec-2] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-01 16:59:46.887 INFO  [http-nio-9000-exec-2] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-06-01 16:59:46.889 INFO  [http-nio-9000-exec-2] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-06-01 17:00:05.071 WARN  [http-nio-9000-exec-4] [o.s.w.s.m.s.DefaultHandlerExceptionResolver] - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2023-06-01 17:00:23.897 INFO  [SpringApplicationShutdownHook] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-01 17:00:23.900 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-06-01 17:00:23.994 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
